Month,Predictions
2020-09-01,2326.545646321254
2020-10-01,2086.39103594425
2020-11-01,1610.2358329512551
2020-12-01,1429.5206218795763
2021-01-01,1219.0603752542968
2021-02-01,1297.5848539891974
